date,country,SiteName,Technology,updatedby,updatetime,Volume
2024-03-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4791.0
2024-03-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6399.0
2024-03-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3256.0
2024-03-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6084.0
2024-03-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4478.0
2024-03-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3122.0
2024-03-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3612.0
2024-03-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5584.0
2024-03-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4026.0
2024-03-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6371.0
2024-03-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5205.0
2024-03-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5342.0
2024-03-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3464.0
2024-03-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3785.0
2024-03-30,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4324.0
2024-03-31,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6265.0
2024-04-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6970.0
2024-04-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4795.0
2024-04-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6663.0
2024-04-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5778.0
2024-04-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3848.0
2024-04-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4987.0
2024-04-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4348.0
2024-04-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4338.0
2024-04-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3292.0
2024-04-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6542.0
2024-04-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3235.0
2024-04-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3417.0
2024-04-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3571.0
2024-04-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5242.0
2024-04-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3903.0
2024-04-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4792.0
2024-04-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5785.0
2024-04-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5605.0
2024-04-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5915.0
2024-04-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5112.0
2024-04-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4419.0
2024-04-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5840.0
2024-04-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5553.0
2024-04-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5016.0
2024-04-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4491.0
2024-04-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5332.0
2024-04-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5812.0
2024-04-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4692.0
2024-04-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6016.0
2024-04-30,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4345.0
2024-05-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6812.0
2024-05-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3929.0
2024-05-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6339.0
2024-05-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4372.0
2024-05-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6898.0
2024-05-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6373.0
2024-05-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4871.0
2024-05-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6698.0
2024-05-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3382.0
2024-05-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5369.0
2024-05-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4198.0
2024-05-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3191.0
2024-05-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4577.0
2024-05-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5487.0
2024-05-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3744.0
2024-05-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6634.0
2024-05-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3059.0
2024-05-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5242.0
2024-05-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6542.0
2024-05-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4223.0
2024-05-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3397.0
2024-05-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3147.0
2024-05-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4398.0
2024-05-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5643.0
2024-05-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6551.0
2024-05-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6166.0
2024-05-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4425.0
2024-05-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5922.0
2024-05-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4889.0
2024-05-30,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3333.0
2024-05-31,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5562.0
2024-06-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4252.0
2024-06-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5211.0
2024-06-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3853.0
2024-06-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5685.0
2024-06-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4712.0
2024-06-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3572.0
2024-06-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4729.0
2024-06-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3845.0
2024-06-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5379.0
2024-06-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6316.0
2024-06-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5513.0
2024-06-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5735.0
2024-06-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5589.0
2024-06-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5274.0
2024-06-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4911.0
2024-06-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3411.0
2024-06-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6365.0
2024-06-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6733.0
2024-06-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5483.0
2024-06-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4188.0
2024-06-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4352.0
2024-06-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3159.0
2024-06-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4593.0
2024-06-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5551.0
2024-06-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6870.0
2024-06-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5883.0
2024-06-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3083.0
2024-06-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3403.0
2024-06-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6768.0
2024-06-30,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3442.0
2024-07-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5740.0
2024-07-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4603.0
2024-07-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3299.0
2024-07-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4340.0
2024-07-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6253.0
2024-07-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6451.0
2024-07-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6397.0
2024-07-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3414.0
2024-07-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6212.0
2024-07-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5747.0
2024-07-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6460.0
2024-07-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3457.0
2024-07-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4732.0
2024-07-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3315.0
2024-07-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5317.0
2024-07-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5568.0
2024-07-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6680.0
2024-07-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4673.0
2024-07-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4268.0
2024-07-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3687.0
2024-07-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5917.0
2024-07-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3950.0
2024-07-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4076.0
2024-07-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4312.0
2024-07-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4185.0
2024-07-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4306.0
2024-07-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5345.0
2024-07-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5425.0
2024-07-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5672.0
2024-07-30,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6028.0
2024-07-31,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3115.0
2024-08-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6646.0
2024-08-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4353.0
2024-08-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6288.0
2024-08-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3467.0
2024-08-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4268.0
2024-08-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4203.0
2024-08-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5812.0
2024-08-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5394.0
2024-08-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3762.0
2024-08-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4815.0
2024-08-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5657.0
2024-08-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4605.0
2024-08-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5101.0
2024-08-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3104.0
2024-08-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5824.0
2024-08-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6843.0
2024-08-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6836.0
2024-08-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4144.0
2024-08-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6635.0
2024-08-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5013.0
2024-08-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6750.0
2024-08-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6562.0
2024-08-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6973.0
2024-08-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6625.0
2024-08-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5548.0
2024-08-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3472.0
2024-08-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4113.0
2024-08-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6508.0
2024-08-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4691.0
2024-08-30,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4836.0
2024-08-31,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5336.0
2024-09-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4311.0
2024-09-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5578.0
2024-09-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4211.0
2024-09-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6833.0
2024-09-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3474.0
2024-09-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3116.0
2024-09-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3616.0
2024-09-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5818.0
2024-09-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6922.0
2024-09-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3541.0
2024-09-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3110.0
2024-09-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4097.0
2024-09-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3211.0
2024-09-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4205.0
2024-09-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4452.0
2024-09-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6455.0
2024-09-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6440.0
2024-09-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5438.0
2024-09-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5086.0
2024-09-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6153.0
2024-09-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3985.0
2024-09-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5041.0
2024-09-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5853.0
2024-09-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5700.0
2024-09-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4808.0
2024-09-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6085.0
2024-09-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4870.0
2024-09-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4292.0
2024-09-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4755.0
2024-09-30,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4286.0
2024-10-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6276.0
2024-10-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4121.0
2024-10-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4397.0
2024-10-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6487.0
2024-10-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4725.0
2024-10-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4181.0
2024-10-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4645.0
2024-10-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4367.0
2024-10-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6777.0
2024-10-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5555.0
2024-10-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6466.0
2024-10-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5051.0
2024-10-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5059.0
2024-10-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3919.0
2024-10-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6583.0
2024-10-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6107.0
2024-10-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6973.0
2024-10-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5725.0
2024-10-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5786.0
2024-10-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5742.0
2024-10-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,0.0
2024-10-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,0.0
2024-10-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,0.0
2024-10-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,0.0
2024-10-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,0.0
2024-10-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,0.0
2024-10-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6065.0
2024-10-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5745.0
2024-10-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3061.0
